seller_state_,review_score_mean,ticket_medio,products_by_orders,dias_na_base,perc_atividade,inativo
21,4.535714285714286,108.98,1.12,203,11.82,0
21,4.0769230769230775,159.01,1.17,141,7.8,1
21,3.75,205.22,1.0,98,8.16,1
21,5.0,167.17,1.0,71,2.82,0
21,3.259259259259259,174.33,1.35,163,11.04,1
21,5.0,146.2,1.0,57,3.51,0
21,1.0,166.71,1.0,1,100.0,1
21,5.0,97.21,1.0,37,8.11,1
21,4.454545454545454,32.86,1.22,99,9.09,1
21,4.281879194630872,213.61,1.24,285,32.63,0
21,3.8,336.57,1.0,126,3.97,0
9,4.5,234.47,1.0,31,6.45,0
21,4.315789473684211,109.21,1.31,525,9.33,0
21,4.333333333333333,707.57,1.22,481,5.2,0
21,5.0,53.47,1.0,1,100.0,0
21,3.9880179730404395,208.38,1.44,510,76.08,0
21,1.0,57.29,1.0,1,100.0,1
18,5.0,210.89,1.0,398,0.75,1
14,4.571428571428571,252.05,2.0,251,2.79,0
21,4.113924050632912,212.27,1.05,492,14.84,0
21,1.0,217.18,1.0,1,100.0,0
21,1.5,214.46,3.0,28,7.14,0
21,4.444444444444445,251.35,1.0,238,7.56,0
15,4.28,373.85,1.25,15,73.33,0
19,4.0,1277.16,4.0,1,100.0,1
21,4.1875,159.47,2.0,234,3.42,1
21,5.0,173.68,1.0,1,100.0,0
7,5.0,147.71,1.0,1,100.0,0
14,4.5,65.94,1.0,219,5.02,1
21,4.5,167.15,1.0,3,66.67,0
14,5.0,273.42,1.0,256,1.17,1
14,5.0,80.74,1.0,4,50.0,0
21,3.8372093023255816,204.76,1.05,434,8.53,0
21,5.0,619.98,2.0,32,9.38,1
21,4.25,75.91,1.14,24,25.0,0
21,3.7142857142857144,148.87,1.0,273,2.56,0
14,3.8653846153846154,104.79,1.68,526,5.7,0
7,1.0,26.98,1.0,1,100.0,1
21,4.385964912280702,200.75,1.42,519,7.32,0
21,2.5,29.42,1.0,1,100.0,1
21,3.9078341013824884,54.94,1.13,581,44.23,0
21,3.849740932642487,181.97,1.29,267,35.21,0
7,2.3333333333333335,72.29,1.0,71,4.23,0
21,4.0,157.29,1.0,329,6.38,0
21,4.666666666666667,59.61,1.5,20,10.0,1
21,4.174117647058823,194.38,1.12,582,43.13,0
21,3.5294117647058822,408.21,1.21,245,5.31,0
21,4.4375,273.36,1.33,570,4.21,0
2,4.5,210.33,1.0,24,16.67,0
21,4.5,194.86,1.0,14,14.29,0
7,4.305555555555555,335.96,3.0,327,3.67,1
21,5.0,204.76,1.0,1,100.0,1
14,4.181818181818182,149.67,1.1,36,22.22,1
14,5.0,153.89,1.4,96,5.21,0
7,3.6619718309859155,214.42,1.23,530,19.25,0
7,3.0,109.42,1.0,1,100.0,1
14,3.5,104.69,1.5,24,16.67,1
21,3.6666666666666665,277.09,1.0,56,5.36,0
21,4.085714285714285,172.38,1.09,532,6.02,0
21,3.6543209876543212,127.36,1.21,525,12.57,0
18,4.090909090909091,76.15,1.0,278,3.96,0
21,4.0,125.07,1.11,185,4.86,0
21,3.96551724137931,168.55,1.03,316,8.23,0
21,3.8846153846153846,211.33,1.13,154,12.99,0
21,4.304347826086956,186.1,1.12,128,25.78,0
21,5.0,61.5,1.17,62,8.06,1
21,3.789473684210526,260.49,1.18,393,11.7,0
7,4.333333333333333,206.82,1.5,52,3.85,1
15,4.3428571428571425,404.9,1.0,36,55.56,0
21,1.0,894.4,1.0,3,66.67,1
21,3.8529411764705883,260.62,1.48,365,6.3,1
21,5.0,121.51,1.0,1,100.0,0
3,4.75,143.77,1.0,15,26.67,1
15,3.6666666666666665,214.57,1.0,40,7.5,0
21,4.5,45.04,1.0,98,2.04,1
11,5.0,412.12,1.0,1,100.0,1
21,3.9943181818181817,247.01,1.12,521,26.68,0
21,2.4,1301.74,1.0,243,2.06,0
21,3.75,213.98,1.33,470,0.64,0
14,4.5,62.16,1.0,230,0.87,0
21,4.4,178.19,1.0,83,6.02,0
14,4.75,733.85,1.0,132,7.58,0
14,5.0,71.45,1.0,1,100.0,0
21,4.274285714285714,110.3,1.29,523,21.41,0
21,4.333333333333333,191.54,1.0,81,3.7,0
7,3.7262773722627736,1034.49,1.76,386,30.31,1
21,4.34,47.19,1.02,446,11.21,0
21,2.6666666666666665,122.27,1.2,324,1.54,1
21,4.0,101.62,1.12,45,33.33,1
21,4.417391304347826,178.07,1.1,515,19.03,0
19,4.3,678.79,2.5,366,1.09,0
21,4.555555555555555,167.48,1.2,103,13.59,0
21,5.0,57.56,1.0,22,9.09,0
21,5.0,546.55,1.0,1,100.0,0
21,4.666666666666667,82.98,1.0,245,4.9,0
