,media_produtos_por_pedido,media_valor_pedido_sem_frete,dias_atividade,cluster
510,1.13,62.96,359,1
511,1.25,287.0,380,1
512,1.12,180.4,302,1
513,2.25,123.75,84,0
514,1.33,318.73,308,1
515,1.04,417.83,550,1
516,1.0,851.0,3,0
517,1.06,217.44,393,1
518,1.43,38.57,54,0
519,1.08,46.86,250,0
520,1.22,110.94,277,1
521,1.05,129.16,366,1
522,1.03,75.28,143,0
523,1.0,40.0,1,0
524,1.03,153.64,465,1
525,1.24,33.31,533,1
526,1.06,95.28,245,0
527,1.0,2951.0,1,2
528,1.0,90.0,9,0
529,1.04,135.0,482,1
530,1.0,42.5,90,0
531,1.05,102.95,186,0
532,1.0,25.0,1,0
533,1.04,250.0,520,1
534,1.12,224.75,202,0
535,1.08,28.89,501,1
536,1.0,122.0,92,0
537,1.14,186.57,685,1
538,1.33,253.67,23,0
539,1.14,113.14,220,0
540,1.04,260.0,212,0
541,1.0,421.07,144,0
542,1.06,62.46,561,1
543,2.0,160.0,1,0
544,1.0,292.0,17,0
545,1.0,285.0,1,0
546,1.0,597.5,234,0
547,1.0,209.85,506,1
548,2.0,98.0,1,0
549,1.09,29.53,408,1
550,1.22,692.22,457,1
551,1.0,238.0,1,0
552,1.17,104.65,401,1
553,1.07,118.55,486,1
554,1.35,304.77,569,1
555,1.0,33.08,444,1
556,1.1,67.8,99,0
557,1.64,236.09,249,0
558,1.02,335.48,525,1
559,1.0,15.0,1,0
560,1.0,56.92,302,1
561,1.0,80.0,1,0
562,1.09,149.27,195,0
563,1.0,1097.05,199,0
564,2.0,858.0,209,0
565,1.11,202.89,476,1
566,1.67,493.0,328,1
567,1.5,157.6,238,0
568,1.0,25.0,20,0
569,1.02,68.52,586,1
570,1.0,63.5,223,0
571,1.18,23.04,110,0
572,1.1,363.1,472,1
573,1.0,50.0,1,0
574,1.03,36.62,495,1
575,1.0,149.0,1,0
576,1.18,137.29,510,1
577,1.0,69.36,209,0
578,1.0,57.67,85,0
579,1.0,1013.33,377,1
580,1.0,250.0,1,0
581,1.04,204.14,521,1
582,1.0,90.0,1,0
583,1.0,1100.0,396,1
584,1.17,122.75,107,0
585,1.0,105.5,61,0
586,1.08,53.08,221,0
587,1.0,29.0,1,0
588,1.27,156.86,143,0
589,1.0,150.0,19,0
590,1.11,201.03,524,1
591,3.12,105.62,354,1
592,1.0,21.0,1,0
593,1.5,40.0,11,0
594,1.0,143.5,107,0
595,1.25,214.58,327,1
596,1.05,100.84,557,1
597,1.22,313.09,460,1
598,1.29,300.88,501,1
599,2.0,94.75,204,0
600,1.0,641.32,271,1
601,1.0,200.0,1,0
